No,Prodi,Angkatan,Kepuasan,IPK,Sikap
280,C,2017,80,3.20,Setuju
281,C,2017,90,3.60,Setuju
282,C,2017,80,3.20,Setuju
283,C,2017,85,2.80,Setuju
284,C,2017,80,3.20,Setuju
285,C,2017,20,0.80,Tidak Setuju
286,C,2017,90,2.80,Setuju
287,C,2017,70,2.60,abstain
288,C,2017,50,2.00,Tidak Setuju
289,C,2017,86,3.44,Setuju
290,C,2017,20,0.80,Tidak Setuju
291,C,2017,90,2.80,Setuju
292,C,2017,70,2.80,abstain
293,C,2017,50,2.00,Tidak Setuju
294,C,2017,75,2.40,abstain
295,C,2017,70,3.00,abstain
296,C,2017,30,1.20,Tidak Setuju
297,C,2017,90,3.40,Setuju
298,C,2017,95,3.60,Setuju
299,C,2017,100,1.00,Setuju
300,C,2017,90,4.00,Setuju
301,C,2017,90,3.60,Setuju
302,C,2017,85,3.40,Setuju
303,C,2017,80,3.20,Setuju
304,C,2017,90,3.60,Setuju
305,C,2017,50,2.00,Tidak Setuju
306,C,2017,75,2.80,abstain
307,C,2017,50,2.00,Tidak Setuju
308,C,2017,100,4.00,Setuju
309,C,2017,98,3.80,Setuju
310,C,2017,50,1.60,Tidak Setuju
311,C,2017,95,3.96,Setuju
312,C,2017,90,3.60,Setuju
313,C,2017,70,2.40,abstain
314,C,2017,70,4.00,abstain
315,C,2017,75,3.20,abstain
316,C,2017,75,3.40,abstain
317,C,2017,85,3.00,Setuju
318,C,2017,80,3.40,Setuju
319,C,2017,100,4.00,Setuju
320,C,2017,60,3.40,Tidak Setuju
321,C,2017,80,3.20,Setuju
322,C,2017,85,3.20,Setuju
323,C,2017,95,3.80,Setuju
324,C,2017,90,3.20,Setuju
325,C,2017,80,3.60,Setuju
326,C,2017,70,2.80,abstain
327,C,2017,90,3.20,Setuju
328,C,2017,80,3.60,Setuju
329,C,2017,80,3.20,Setuju
330,C,2017,95,3.60,Setuju
331,C,2017,90,3.60,Setuju
332,C,2017,70,2.80,abstain
333,C,2017,55,2.00,Tidak Setuju
334,C,2017,70,2.20,abstain
335,C,2017,70,2.80,abstain
336,C,2017,80,3.20,Setuju
337,C,2017,85,3.40,Setuju
338,C,2017,75,2.80,abstain
339,C,2017,65,2.80,Tidak Setuju
340,C,2017,80,3.20,Setuju
341,C,2017,100,4.00,Setuju
342,C,2017,80,3.20,Setuju
343,C,2017,70,3.20,abstain
344,C,2017,80,3.60,Setuju
345,C,2017,90,3.60,Setuju
346,C,2017,80,2.80,Setuju
347,C,2017,70,2.80,abstain
348,C,2017,90,3.60,Setuju
349,C,2017,95,3.56,Setuju
350,D,2016,60,2.40,Tidak Setuju
351,D,2016,90,3.60,Setuju
352,D,2016,100,4.00,Setuju
353,D,2016,100,4.00,Setuju
354,D,2016,80,3.20,Setuju
355,D,2016,99,3.92,Setuju
